associationId	personId
1024	21941
1024	3707
1024	14679
1024	1123
1024	7922
1024	21437
1024	1378
1024	3861
1024	1656
1024	5277
1024	2299
1024	4031
1024	2476
1024	25786
1024	3189
1024	13398
1024	2764
1024	22726
1024	9173
1024	22291
1024	12029
1024	3193
1024	9627
1024	3095
1024	11170
1024	2514
1024	11993
1024	13255
1024	1395
1024	1804
1024	19672
1024	3129
1024	11986
1024	17048
1024	4019
1024	1588
1024	7659
1024	4887
1024	13607
1024	2792
1024	2315
1024	1689
1024	2863
1024	2756
1024	2023
1024	10624
1024	8690
1024	3321
1024	10718
1024	1682
1024	20767
1024	2849
1024	12112
1024	10901
1024	3693
1024	1336
1024	15482
1024	3704
1024	14717
1024	2970
1024	10047
1024	2494
1024	4623
1024	37048
1024	1423
1024	2805
1024	15926
1024	3348
1024	7245
1024	29002
1024	5231
1024	4294
1024	23045
1024	2094
1024	9717
1024	7890
1024	3212
1024	2516
1024	10208
1024	4520
1024	3816
1024	3138
1024	12750
1024	2359
1024	2638
1024	17960
1024	2566
1024	1308
1024	1211
1024	5212
1024	17763
1024	4113
1024	7618
1024	2049
1024	8602
1024	10571
1024	2377
1024	29897
1024	1906
1024	6626
1024	5134
1024	1841
1024	12753
1024	15945
1024	24518
1024	2072
1024	9798
1024	7447
1024	1016
1024	5132
1024	3183
1024	2794
1024	3651
1024	3267
1024	6813
1024	16482
1024	3456
1024	11836
1024	5488
1024	1286
1024	27158
1024	21421
1024	1915
1024	14606
1024	15944
1024	5234
1024	3409
1024	9307
1024	15512
1024	3373
1024	15873
1024	2100
1024	10350
1024	5490
1024	21146
1024	24041
1024	33751
1024	2416
1024	4050
1024	17762
1024	2723
1024	1542
1024	3239
1024	2274
1024	8853
1024	3200
1024	25434
1024	1225
1024	5654
1024	2669
1024	12285
1024	2864
1024	4577
1024	17208
1024	2025
1024	2811
1024	4409
1024	3959
1024	2872
1024	10601
1024	4337
1024	1554
1024	23929
1024	4981
1024	8530
1024	1964
1024	7941
1024	11409
1024	13763
1024	17942
1024	21549
1024	23110
1024	2523
1024	2984
1024	25435
1024	1807
1024	4396
1024	3605
1024	11846
1024	7394
1024	6896
1024	2672
1024	5626
1024	22210
1024	13587
1024	29528
1024	1676
1024	15089
1024	20978
1024	9306
1024	3215
1024	3997
1024	1189
1024	3178
1024	5568
1024	5355
1024	2783
1024	18469
1024	22222
1024	6678
1024	1657
1024	2373
1024	5713
1024	2618
1024	2972
1024	14775
1024	13330
1024	2832
1025	2903
1025	3742
1025	6251
1025	11048
1025	13531
1025	2530
1025	6572
1025	8293
1025	1478
1025	16379
1025	1655
1025	2104
1025	3154
1025	9584
1025	15439
1025	3786
1025	1546
1025	1943
1025	2611
1025	5647
1025	4549
1025	5103
1025	5622
1025	16572
1025	10700
1025	6190
1025	6956
1025	2498
1025	2000
1025	4227
1025	2007
1025	1617
1025	14792
1025	1581
1025	20222
1025	2354
1025	8292
1025	2610
1025	2443
1025	3421
1025	3730
1025	3241
1025	3308
1025	2686
1025	13177
1025	9511
1025	6734
1025	3302
1025	21675
1025	2560
1025	2855
1025	11699
1025	13448
1025	2313
1025	3331
1025	5083
1025	6010
1025	15135
1025	3906
1025	14389
1025	2792
1025	22304
1025	1099
1025	1689
1025	2347
1025	8843
1025	15314
1025	22279
1025	6926
1025	3626
1025	4457
1025	5829
1025	4387
1025	3170
1025	3974
1025	26935
1025	11554
1025	11447
1025	4286
1025	1962
1025	2706
1025	4145
1025	2993
1025	7965
1025	6591
1025	8170
1025	3475
1025	5423
1025	6832
1025	15440
1025	30069
1025	3936
1025	6472
1025	2280
1025	3303
1025	3126
1025	3418
1025	4367
1025	2405
1025	2036
1025	21849
1025	2538
